university,city,state,city_population_density,city_population
Tulane University,New Orleans,LA,2311,391495
Washington University in St. Louis,St. Louis,MO,5030,311404
Columbia University,New York,NY,28211,8537673
ArtCenter College of Design,Pasadena,CA,6185,142059
Berkeley College - New York,New York,NY,28211,8537673
Brigham Young University - Hawaii,"Laie, Oahu",HI,4333,6071
Brigham Young University - Idaho,Rexburg,ID,2937,35300
California State Polytechnic University - Pomona,Pomona,CA,6645,152494
California State University - East Bay,Hayward,CA,3507,158937
California State University - Fullerton,Fullerton,CA,6296,140721
California State University - Los Angeles,Los Angeles,CA,8484,3976322
California State University - Northridge,Northridge,CA,52295,70653
California State University - Sacramento,Sacramento,CA,5058,495234
California State University - Long Beach,Long Beach,CA,9348,470130
California State University - San Bernardino,San Bernardino,CA,3653,216239
Central Baptist Theological Seminary,Shawnee,KS,1558,65194
College of Wooster,Wooster,OH,1601,26751
CUNY Baruch College,New York,NY,28211,8537673
CUNY--City College,New York,NY,28211,8537673
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,FL,1141,66645
Embry-Riddle Aeronautical University - Prescott,Prescott,AZ,1019,46833
Florida National University,Hialeah,FL,11020,236387
Hobart and William Smith Colleges,Geneva,NY,3022,12432
"Holy Cross College at Notre Dame, Indiana",Notre Dame,IN,6333,6699
Houston Community College System,Houston,TX,3842,2303482
Miami University - Middletown,Middletown,OH,1951,50998
Miami University--Oxford,Oxford,OH,3000,22625
Miami-Dade College,Miami,FL,12645,453579
Minnesota State University - Mankato,Mankato,MN,2386,44693
New England Conservatory of Music,Boston,MA,13943,673184
New York Institute of Technology - Old Westbury,Old Westbury,NY,460,4219
Northeastern University - Boston,Boston,MA,13943,673184
Northeastern University - Seattle,Seattle,WA,8391,704352
Ohio State University - Columbus,Columbus,OH,3960,860090
Ottawa University - Kansas City,Overland Park,KS,2525,188966
Pennsylvania State University - Penn State Abington,Abington,PA,3603,55468
Pennsylvania State University - Penn State Harrisburg,Middletown,PA,4696,9587
Peralta Community College District,Oakland,CA,7528,420005
Perimeter College of Georgia State University,Clarkston,GA,7998,14538
Pratt Institute,Brooklyn,NY,38634,2736074
Rutgers University--New Brunswick,Piscataway,NJ,2976,56923
San Mateo County Community College District,San Mateo,CA,8570,103959
Southern Arkansas University - Magnolia,Magnolia,AR,844,11105
St. Cloud State University - St. Cloud,Saint Cloud,MN,1715,68818
St. Francis College,Brooklyn Heights,NY,202493,64798
St. John's College (MD),Annapolis,MD,5729,40687
St. John's College (NM),Santa Fe,NM,1824,83875
St. Lawrence University,Canton,NY,106,7064
St. Olaf College,Northfield,MN,2465,20729
SUNY Fashion Institute of Technology,New York,NY,28211,8537673
The University of Texas Health Science Center - Houston,Houston,TX,3842,2303482
Tufts University-  Boston Health Sciences Campus,Boston,MA,13943,673184
University of California - San Francisco,San Francisco,CA,18581,870887
"University of California, Merced",Merced,CA,3542,82594
University of Colorado/Anschutz Medical Campus,Aurora,CO,2338,361710
University of Illinois - Springfield,Springfield,IL,1945,115715
University of Maine--Machias,Machias,ME,599,2072
University of Massachusetts Medical School,Worcester,MA,4937,184508
University of Michigan - Dearborn,Dearborn,MI,3899,94444
University of St. Thomas (TX),Houston,TX,3842,2303482
University of Texas - Arlington,Arlington,TX,4096,392772
Virginia Tech,Blacksburg,VA,2300,44949
Wheaton College (MA),Norton,MA,640,19948
