university,city_land_area,international_students_natlib,international_students_max,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_qs,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,city,state,city_population_density,city_population
Georgia Institute of Technology,133,0.11,5675,33794,NA,51-100,51-100,public,NA,National,NA,NA,NA,L,19,Very High,0,38.3,24.6,46.6,38,12.4,16561,NA,Atlanta,GA,3549,472522
University of North Carolina at Charlotte,298,NA,1661,NA,NA,NA,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,19,Very High,NA,NA,NA,NA,NA,NA,NA,30146,Charlotte,NC,2829,842051
University of Wisconsin Milwaukee,96,NA,1067,NA,NA,NA,801-1000,public,NA,NA,NA,NA,NA,L,16,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Milwaukee,WI,5965,569330
University of Arkansas Fayetteville,54,NA,1134,NA,NA,NA,1001-1200,public,NA,NA,NA,NA,NA,L,18,Very High,NA,NA,NA,NA,NA,NA,NA,NA,Fayetteville,AR,1814,95230
University of North Texas,88,0.05,2420,24234,NA,301-400,1001-1200,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,23,Medium High,0,19.2,4.6,27.8,19,0,32694,40953,Denton,TX,1521,133808
The University of Texas at Arlington,96,NA,4106,NA,NA,NA,1001-1200,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,22,Very High,NA,NA,NA,NA,NA,NA,NA,48072,Arlington,TX,4096,392772
"University of California, Santa Barbara",19,0.11,4309,NA,NA,21-50,101-150,public,NA,National,NA,NA,NA,L,16,Very High,38.6,30.3,28.7,40.1,37.5,14.4,NA,NA,Santa Barbara,CA,4722,91930
West Virginia University,NA,NA,1807,25320,NA,401-500,801-1000,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,L,15,Very High,0,9.6,8,31.5,11.9,0,21086,NA,Morgantown,WV,3053,29219
"The University of Tennessee, Knoxville",99,NA,1156,NA,NA,NA,501-600,public,NA,NA,NA,NA,NA,XL,17,Medium High,NA,NA,NA,NA,NA,NA,NA,30559,Knoxville,TN,1890,186239
University of Massachusetts Amherst,NA,0.07,3696,36964,NA,151-200,201-300,public,NA,National,NA,NA,NA,L,14,Very High,0,25.3,15.7,38.5,23.2,13.4,24233,NA,Amherst,MA,1422,37819
North Carolina State University,143,NA,5008,29916,NA,NA,201-300,public,NA,NA,NA,NA,NA,L,15,Very High,NA,NA,NA,NA,NA,NA,26150,NA,Raleigh,NC,3211,458880
Purdue University,NA,0.11,10500,28794,NA,51-100,101-150,public,NA,National,NA,NA,NA,XL,15,Very High,22.8,19.2,23.1,53.2,23.7,13.4,34920,NA,West Lafayette,IN,3281,44672
University of Virginia,NA,NA,2201,53666,NA,151-200,201-300,public,NA,NA,NA,NA,NA,L,8,Very High,0,19.2,24.6,46.1,19.1,0,17311,NA,Charlottesville,VA,4542,45672
University of Illinois at Urbana-Champaign,22,0.13,12838,NA,highly competitive plus,21-50,51-100,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,17,Very High,35.8,19.2,31.8,57.8,28,29.6,NA,NA,Champaign,IL,3863,86637
University of California - Irvine,66,0.15,9323,NA,NA,51-100,201-300,public,NA,National,NA,NA,NA,XL,13,Very High,28.9,21.4,22.7,47.6,24.8,0,NA,36303,Irvine,CA,4025,266122
University of Washington,84,0.14,8777,39906,NA,1-20,51-100,public,NA,National,NA,NA,NA,XL,15,Very High,37.4,54.2,49.1,75.9,31.4,24.9,35582,NA,Seattle,WA,8391,704352
University of Illinois at Chicago,228,0.07,4926,31787,NA,NA,201-300,public,NA,National,NA,NA,NA,L,10,Very High,NA,NA,NA,NA,NA,NA,21921,NA,Chicago,IL,11883,2704958
Arizona State University,40,0.06,13015,29438,NA,101-150,201-300,public,NA,National,NA,NA,NA,XL,17,Very High,19.7,16.6,21.9,47.1,22.9,0,63124,NA,Tempe,AZ,4570,182498
University of Texas - Austin,298,NA,5473,40032,NA,NA,51-100,public,NA,NA,NA,NA,NA,XL,17,Very High,NA,NA,NA,NA,NA,NA,40048,NA,Austin,TX,3182,947890
University of Colorado Boulder,25,NA,2441,38312,NA,NA,201-300,public,Four-year (large),NA,Doctoral Universities,Majority undergraduate,city,XL,11,Very High,NA,NA,NA,NA,NA,NA,30300,37437,Boulder,CO,4383,108090
Michigan State University,NA,0.06,5795,39766,NA,101-150,151-200,public,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,XL,15,Very High,0,21.4,22,54.8,19.3,8.8,38491,49695,East Lansing,MI,3542,46854
