university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Mississippi State University,NA,401-500,401,118-139,5.1,13.5,0,0,25,15.9,198,24900,18803,NA,NA,NA,NA,NA,NA,NA,L,Public,Starkville,NA,1001-1200,Very High,1103,18,730,NA,NA,NA,NA,NA,NA,Mississippi State,MS,15,16,1,4,33
Saint Louis University,NA,401-500,401,118-139,5.5,9.6,0,11.4,26.5,13.4,109,48824,7357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MO,4,NA,NA,NA,NA,Saint Louis,MO,16,17,2,5,11
Duke University,39.7,26,26,19,35.6,55.9,15.2,19,63.9,25.5,10,60489,6717,Durham,NC,0.09,National,NA,NA,NA,L,Private,Durham,75.2,52,Very High,5673,3,3445,NC,1,NA,NA,NA,NA,Durham,NC,15,17,2,6,11
Florida State University,NA,201-300,201,70-95,15.3,13.5,0,0,39.3,20.2,55,21683,32543,NA,NA,NA,NA,NA,NA,NA,XL,Public,Tallahassee,25,475,Very High,2.2359999999999998,17,1.618,NA,NA,FL,Public,4-year,43569,Tallahassee,FL,15,15,1,4,12
George Mason University,NA,201-300,201,70-95,6.1,0,0,31.5,29.5,19.4,151,36579,27105,Fairfax,VA,0.05,National,NA,NA,NA,L,Public,Fairfax,NA,801-1000,Very High,2.0109999999999997,15,2.737,NA,NA,VA,Public,4-year,38541,Fairfax,VA,15,15,1,4,21
University of Notre Dame,NA,201-300,201,70-95,14.5,16.6,12.4,0,32.8,20.8,19,58843,8874,Notre Dame,IN,0.06,National,NA,NA,NA,L,Private,Notre Dame,40.9,222,Very High,1545,8,1484,IN,1,NA,NA,NA,NA,Notre Dame,IN,15,17,2,5,21
Drexel University,NA,301-400,301,96-117,9.7,19.2,0,0,31.4,21.8,105,57136,14552,Philadelphia,PA,0.09,National,NA,NA,NA,L,Private,Philadelphia,NA,651-700,Very High,1.837,11,2.526,NA,NA,NA,NA,NA,NA,Philadelphia,PA,15,16,2,5,11
University of Florida,27,86,86,41,18.9,28.7,16.8,0,63.6,24.8,31,28658,34931,NA,NA,NA,NA,Gainesville,FL,5919,XL,Public,Gainesville,46.9,173,Very High,6222,7,4143,FL,3,FL,Public,4-year,53372,Gainesville,FL,15,16,1,5,12
University of Rochester,NA,151-200,151,59-69,17.5,13.5,27.8,7.6,39.9,17.9,35,59344,6521,Rochester,NY,0.25,National,NA,NA,NA,M,Private,Rochester,50.3,154,Very High,1853,5,3644,NY,1,NA,NA,NA,NA,Rochester,NY,15,15,2,5,12
Brandeis University,NA,201-300,201,70-95,16.4,9.6,19,12,18.7,27.8,43,60391,3493,Waltham,MA,0.2,National,NA,NA,NA,M,Private,Waltham,25.7,455,Very High,611,9,1.554,MA,1,NA,NA,NA,NA,Waltham,MA,15,14,2,5,13
