university,total_score_arwu,world_rank_cat_arwu,world_rank_arwu,national_rank_arwu,n_s_arwu,hi_ci_arwu,alumni_arwu,award_arwu,pub_arwu,pcp_arwu,national_rank_kaggle,tuition_kaggle,enrollment_kaggle,city.x,state_natlib,international_students_natlib,type3_natlib,city.y,state_opendoors,international_students_opendoors,size_qs,type1_qs,city.x.x,score_qs,world_rank_qs,research_output_qs,faculty_count_qs,stu_facl_ratio_qs,international_students_qs,state,selectivity,state_top120enrollment,type1_top120enrollment,type2_top120enrollment,enrollment_top120enrollment,city.y.y,state_carnegie,basic2021_carnegie,sizeset2021_carnegie,control_carnegie,enrprofile2021_carnegie,locale_carnegie
Drew University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madison,NJ,0.11,Liberal Arts,Madison,NJ,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madison,NJ,21,11,2,4,21
Haverford College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Haverford,PA,0.11,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA,1,NA,NA,NA,NA,Haverford,PA,21,11,2,2,21
Middlebury College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middlebury,VT,0.11,Liberal Arts,Middlebury,VT,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,VT,1,NA,NA,NA,NA,Middlebury,VT,21,11,2,3,32
Oberlin College and Conservatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Oberlin,OH,0.11,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomona College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Claremont,CA,0.11,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,1,NA,NA,NA,NA,Claremont,CA,21,11,2,2,21
Wesleyan University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Middletown,CT,0.11,Liberal Arts,Middletown,CT,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,CT,1,NA,NA,NA,NA,Middletown,CT,21,11,2,3,13
Amherst College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amherst,MA,0.1,Liberal Arts,Amherst,MA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,NA,NA,NA,NA,Amherst,MA,21,11,2,2,21
Carleton College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northfield,MN,0.1,Liberal Arts,Northfield,MN,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,MN,1,NA,NA,NA,NA,Northfield,MN,21,11,2,2,32
Kenyon College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gambier,OH,0.1,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,1,NA,NA,NA,NA,Gambier,OH,21,11,2,2,32
Luther College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorah,IA,0.1,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decorah,IA,21,11,2,2,33
