City,State,Population Density (Persons/Square Mile),2016 Population,Land Area (Square Miles)
Sanford,FL,"2,552","58,605",23
Dubuque,IA,"1,953","58,531",30
Arcadia,CA,"5,354","58,523",11
Bowie,MD,"3,168","58,393",18
White Plains,NY,"5,961","58,241",10
Des Plaines,IL,"4,071","58,141",14
Doral,FL,"4,175","57,947",14
Margate,FL,"6,539","57,870",9
Santee,CA,"3,561","57,834",16
Kokomo,IN,"3,124","57,799",19
Castle Rock,CO,"1,707","57,666",34
Grand Forks,ND,"2,881","57,339",20
Midwest City,OK,"2,349","57,305",24
St. Peters,MO,"2,561","57,289",22
Medford,MA,"7,063","57,213",8
Corvallis,OR,"4,042","57,110",14
Hendersonville,TN,"1,819","57,050",31
New Brunswick,NJ,"10,881","56,910",5
Taunton,MA,"1,217","56,843",47
Tinley Park,IL,"3,548","56,831",16
Diamond Bar,CA,"3,817","56,793",15
Smyrna,GA,"3,691","56,664",15
Sarasota,FL,"3,862","56,610",15
Greenwood,IN,"2,663","56,545",21
Fountain Valley,CA,"6,267","56,529",9
Valdosta,GA,"1,576","56,474",36
Oak Lawn,IL,"6,549","56,257",9
Novato,CA,"2,041","56,004",27
Chicopee,MA,"2,453","55,991",23
Weymouth Town,MA,"3,334","55,972",17
Dearborn Heights,MI,"4,750","55,761",12
Berwyn,IL,"14,258","55,748",4
Bradenton,FL,"3,927","55,687",14
Hempstead,NY,"15,096","55,555",4
Hanford,CA,"3,348","55,547",17
Rocky Mount,NC,"1,267","55,466",44
Port Arthur,TX,721,"55,427",77
Shoreline,WA,"4,741","55,333",12
Kettering,OH,"2,961","55,306",19
Anderson,IN,"1,333","55,130",41
Decatur,AL,"1,026","55,072",54
Gilroy,CA,"3,410","55,069",16
Richland,WA,"1,539","54,989",36
Manhattan,KS,"2,931","54,983",19
Highland,CA,"2,929","54,939",19
Paramount,CA,"11,609","54,909",5
Commerce City,CO,"1,600","54,869",34
Huntersville,NC,"1,384","54,839",40
Euless,TX,"3,379","54,769",16
Pocatello,ID,"1,699","54,746",32
Carson City,NV,378,"54,742",145
Colton,CA,"3,571","54,712",15
Casa Grande,AZ,497,"54,534",110
West Haven,CT,"5,071","54,516",11
Rosemead,CA,"10,562","54,500",5
Blue Springs,MO,"2,444","54,431",22
Hoboken,NJ,"42,484","54,379",1
Normal,IL,"2,957","54,264",18
Bonita Springs,FL,"1,404","54,198",39
