university,city,state,city_population_density,city_population,city_land_area,international_students_natlib,international_students_max,international_students_qs,international_students_opendoors,tuition_kaggle,selectivity,world_rank_cat_arwu,world_rank_arwu,world_rank_qs,national_rank_arwu,national_rank_kaggle,type1_all,type2_carnegie,type3_natlib,type4_carnegie,enrprofile2021_carnegie,locale_carnegie,size_qs,faculty_count_qs,stu_facl_ratio_qs,research_output_qs,award_arwu,hi_ci_arwu,n_s_arwu,pub_arwu,pcp_arwu,alumni_arwu,enrollment_kaggle,enrollment_top120enrollment,total_score_arwu,score_qs
Lynn University,Boca Raton,FL,3277,96114,29,NA,542,NA,542,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lyon College,Batesville,AR,NA,NA,NA,0.08,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macalester College,St. Paul,MN,5818,302398,52,0.13,388,NA,388,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland Institute College of Art,Baltimore,MD,7594,614664,81,NA,541,NA,541,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marymount University,Arlington,VA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryville College,Maryville,TN,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MCPHS University,Boston,MA,13943,673184,48,NA,941,NA,941,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Menlo College,Atherton,CA,NA,NA,NA,NA,170,NA,170,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middlebury College,Middlebury,VT,NA,NA,NA,0.11,293,NA,293,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri Valley College,Marshall,MO,NA,NA,NA,NA,283,NA,283,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moody Bible Institute,Chicago,IL,11883,2704958,228,NA,164,NA,164,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mount Holyoke College,South Hadley,MA,NA,NA,NA,0.24,646,NA,646,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York School of Interior Design,New York,NY,28211,8537673,303,NA,117,NA,117,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niagara University,Niagara University,NY,NA,NA,NA,NA,661,NA,661,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nova Southeastern University,Ft. Lauderdale,FL,NA,NA,NA,0.05,NA,NA,NA,34570,NA,NA,NA,NA,NA,218,private,Four-year (large),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6314,NA,NA,NA
Oakland City University,Oakland City,IN,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oberlin College,Oberlin,OH,NA,NA,NA,0.11,342,NA,342,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Occidental College,Los Angeles,CA,8484,3976322,469,0.06,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oglethorpe University,Atlanta,GA,3549,472522,133,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio Wesleyan University,Delaware,OH,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City University,Oklahoma City,OK,1053,638367,606,0.06,NA,NA,NA,32744,NA,NA,NA,NA,NA,244,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1526,NA,NA,NA
Oral Roberts University,Tulsa,OK,2049,403090,197,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),National,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Otis College of Art and Design,Los Angeles,CA,8484,3976322,469,NA,241,NA,241,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pace University,New York,NY,28211,8537673,303,0.07,NA,NA,NA,48830,NA,NA,NA,NA,NA,219,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7994,NA,NA,NA
Pepperdine University,Malibu,CA,NA,NA,NA,0.09,NA,NA,NA,59702,highly competitive,NA,NA,NA,NA,52,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3459,NA,NA,NA
Pitzer College,Claremont,CA,NA,NA,NA,0.07,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pomona College,Claremont,CA,NA,NA,NA,0.11,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Principia College,Elsah,IL,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randolph College,Lynchburg,VA,1633,80212,49,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island School of Design,Providence,RI,9740,179219,18,NA,1077,NA,1077,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodes College,Memphis,TN,2072,652717,315,0.06,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ringling College of Art and Design,Sarasota,FL,3862,56610,15,NA,346,NA,346,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Morris University,Moon Township,PA,NA,NA,NA,0.06,NA,NA,NA,32770,NA,NA,NA,NA,NA,189,private,Four-year (median),National,Doctoral Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3312,NA,NA,NA
Rose-Hulman Institute of Technology,Terre Haute,IN,1762,60852,35,NA,255,NA,255,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Leo University,Saint Leo,FL,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco Conservatory of Music,San Francisco,CA,18581,870887,47,NA,139,NA,139,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Santa Clara University,Santa Clara,CA,6841,125948,18,0.06,NA,NA,NA,55860,highly competitive,NA,NA,NA,NA,57,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5608,NA,NA,NA
Sarah Lawrence College,Bronxville,NY,NA,NA,NA,0.07,NA,NA,NA,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Savannah College of Art and Design,Savannah,GA,1423,146763,103,NA,4083,NA,4083,NA,NA,NA,NA,NA,NA,NA,private,Four-year (large),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School of the Art Institute of Chicago,Chicago,IL,11883,2704958,228,NA,1092,NA,1092,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Pacific University,Seattle,WA,8391,704352,84,0.05,NA,NA,NA,35646,NA,NA,NA,NA,NA,232,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2702,NA,NA,NA
Skidmore College,Saratoga Springs,NY,NA,NA,NA,0.09,291,NA,291,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soka University of America,Aliso Viejo,CA,6884,51424,7,0.49,221,NA,221,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Thomas University,Miami Gardens,FL,6202,113058,18,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suffolk University,Boston,MA,13943,673184,48,0.15,1273,NA,1273,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swarthmore College,Swarthmore,PA,NA,NA,NA,0.16,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweet Briar College,Sweet Briar,VA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Christian University,Fort Worth,TX,2513,854113,340,0.05,NA,NA,NA,51660,highly competitive,NA,NA,NA,NA,90,private,Four-year (large),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9704,NA,NA,NA
The Juilliard School,New York,NY,28211,8537673,303,NA,300,NA,300,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The King's College,New York,NY,28211,8537673,303,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The University of Tampa,Tampa,FL,3326,377165,113,NA,832,NA,832,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thomas Aquinas College,Santa Paula,CA,NA,NA,NA,0.05,NA,NA,NA,NA,highly competitive plus,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trevecca Nazarene University,Nashville,TN,1390,660388,475,0.1,NA,NA,NA,26898,NA,NA,NA,NA,NA,353,private,Four-year (median),National,Doctoral Universities,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2095,NA,NA,NA
Trinity College,Hartford,CT,7091,123243,17,0.13,338,NA,338,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union College,Schenectady,NY,6022,64913,11,0.1,228,NA,228,NA,highly competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Master's Colleges & Universities,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Charleston,Charleston,WV,NA,NA,NA,0.07,NA,NA,NA,31400,NA,NA,NA,NA,NA,362,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2115,NA,NA,NA
University of Detroit Mercy,Detroit,MI,4849,672795,139,0.07,NA,NA,NA,30154,NA,NA,NA,NA,NA,192,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2633,NA,NA,NA
University of Indianapolis,Indianapolis,IN,2366,855164,361,0.07,NA,NA,NA,33520,NA,NA,NA,NA,NA,246,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4168,NA,NA,NA
University of La Verne,La Verne,CA,NA,NA,NA,0.05,NA,NA,NA,45850,NA,NA,NA,NA,NA,141,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2484,NA,NA,NA
University of New Haven,West Haven,CT,5071,54516,11,NA,1084,NA,1084,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Richmond,Univ. of Richmond,VA,NA,NA,NA,0.09,308,NA,308,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (median),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of the Ozarks,Clarksville,AR,NA,NA,NA,NA,236,NA,236,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Western States,Portland,OR,4795,639863,133,NA,188,NA,188,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Doctoral Universities,Exclusive/Majority graduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vassar College,Poughkeepsie,NY,NA,NA,NA,0.08,242,NA,242,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walsh University,North Canton,OH,NA,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wartburg College,Waverly,IA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington and Lee University,Lexington,VA,NA,NA,NA,0.05,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Majority undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wellesley College,Wellesley,MA,NA,NA,NA,0.14,384,NA,384,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wesleyan University,Middletown,CT,NA,NA,NA,0.11,339,NA,339,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whitman College,Walla Walla,WA,NA,NA,NA,0.1,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whittier College,Whittier,CA,5931,86883,15,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wilkes University,Wilkes-Barre,PA,NA,NA,NA,0.06,NA,NA,NA,39914,NA,NA,NA,NA,NA,226,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2243,NA,NA,NA
Williams College,Williamstown,MA,NA,NA,NA,0.08,NA,NA,NA,NA,most competitive,NA,NA,NA,NA,NA,private,Four-year (small),Liberal Arts,Baccalaureate Colleges,Exclusive/Very high undergraduate,town or rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wingate University,Wingate,NC,NA,NA,NA,0.06,NA,NA,NA,40170,NA,NA,NA,NA,NA,390,private,Four-year (median),National,Doctoral Universities,Majority undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2683,NA,NA,NA
Academy of Art University,San Francisco,CA,18581,870887,47,NA,2747,NA,2747,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Full Sail University,Winter Park,FL,NA,NA,NA,NA,586,NA,586,NA,NA,NA,NA,NA,NA,NA,private,Four-year (large),NA,Master's Colleges & Universities,Exclusive/Very high undergraduate,suburb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monroe College,New Rochelle,NY,7687,79557,10,NA,1094,NA,1094,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Musicians Institute,Hollywood,CA,NA,NA,NA,NA,312,NA,312,NA,NA,NA,NA,NA,NA,NA,private,Four-year (small),NA,Special Focus Four-Year,Exclusive/Very high undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
School of Visual Arts,New York,NY,28211,8537673,303,NA,2435,NA,2435,NA,NA,NA,NA,NA,NA,NA,private,Four-year (median),NA,Master's Colleges & Universities,Majority undergraduate,city,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulane University,New Orleans,LA,2311,391495,169,0.05,1172,1172,NA,60814,NA,NA,NA,401-500,NA,45,private,NA,National,NA,NA,NA,M,1733,6,Very High,NA,NA,NA,NA,NA,NA,7700,NA,NA,26.6
Washington University in St. Louis,St. Louis,MO,5030,311404,62,0.07,3535,3535,NA,58866,NA,1-20,20,101-150,16,16,private,NA,National,NA,NA,NA,L,3193,5,Very High,24.6,55,42.3,53.8,38.6,22.7,7653,NA,42.1,58
Columbia University,New York,NY,28211,8537673,303,NA,15015,11252,15015,63530,NA,1-20,8,1-20,6,2,private,NA,NA,NA,NA,NA,L,7087,4,Very High,67.2,41.8,56.4,71.5,33.7,62.8,6170,NA,58.2,88.7
ArtCenter College of Design,Pasadena,CA,6185,142059,23,NA,1225,NA,1225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berkeley College - New York,New York,NY,28211,8537673,303,NA,190,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brigham Young University - Hawaii,"Laie, Oahu",HI,NA,NA,NA,NA,1392,NA,1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brigham Young University - Idaho,Rexburg,ID,NA,NA,NA,NA,1606,NA,1606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State Polytechnic University - Pomona,Pomona,CA,6645,152494,23,NA,783,NA,783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - East Bay,Hayward,CA,3507,158937,45,NA,852,NA,852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Fullerton,Fullerton,CA,6296,140721,22,NA,2232,NA,2232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Los Angeles,Los Angeles,CA,8484,3976322,469,NA,770,NA,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Northridge,Northridge,CA,NA,NA,NA,NA,1611,NA,1611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Sacramento,Sacramento,CA,5058,495234,98,NA,771,NA,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - Long Beach,Long Beach,CA,9348,470130,50,0.06,1480,NA,1480,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California State University - San Bernardino,San Bernardino,CA,3653,216239,59,0.05,572,NA,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Baptist Theological Seminary,Shawnee,KS,1558,65194,42,NA,187,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Wooster,Wooster,OH,NA,NA,NA,0.15,282,NA,282,NA,very competitive plus,NA,NA,NA,NA,NA,NA,NA,Liberal Arts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUNY Baruch College,New York,NY,28211,8537673,303,NA,1579,NA,1579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUNY--City College,New York,NY,28211,8537673,303,0.05,NA,NA,NA,19010,NA,NA,NA,NA,NA,149,NA,NA,National,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12587,NA,NA,NA
Embry-Riddle Aeronautical University - Daytona Beach,Daytona Beach,FL,1141,66645,58,NA,1010,NA,1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Embry-Riddle Aeronautical University - Prescott,Prescott,AZ,NA,NA,NA,NA,257,NA,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
